schema_name,relation_name,column_name,required,evidence_types,source_files
public,jobs,due_date,True,insert,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,jobs,id,True,filter | order | select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,jobs,job_name,True,insert | update,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,jobs,notes,True,insert | update,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,jobs,status,True,insert | select | update,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,jobs,woocommerce_order_id,True,filter | insert,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,logos,code,True,insert | select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/CreateFinishedFromBlank.jsx
public,logos,id,True,select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/CreateFinishedFromBlank.jsx
public,logos,name,True,filter | insert | order | select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/CreateFinishedFromBlank.jsx
public,low_stock_blank_inventory,available_quantity,True,order,src/lib/inventoryApi.js
public,low_stock_blank_inventory,reorder_quantity,True,order,src/lib/inventoryApi.js
public,phase1_purchase_order_items_detail,purchase_order_id,True,filter,src/lib/inventoryApi.js
